DNI         NOMBRE Y APELLIDOS            ASEGURADORA         CÓDIGO       INICIO DE LA POLIZA    FIN DE LA POLIZA     MONTO        EDAD
76667086    VICTOR TORRES CRUZ            Insur Vida          ESB618       26/11/2023             20/11/2024           8232.830     31 
96762014    GABRIELA REYES MORALES        La Positiva         AMB388       15/12/2022             29/11/2025           11066.680    18 
36905641    CARMEN CRUZ TORRES            Interseguro         GKS405       02/07/2022             27/06/2023           14263.690    41 
20512253    VICTOR HERRERA DIAZ           Pacifico Seguros    JLU979       12/11/2024             02/11/2026           11948.530    30 
24619922    RICARDO GONZALEZ CASTILLO     Insur Vida          MIL700       10/09/2023             30/08/2025           6741.600     40 
86325177    ANDRES MARTINEZ DIAZ          Sanitas Peru        ZND174       12/12/2023             26/11/2026           8903.550     71 
53170548    DIEGO AGUILAR FLORES          Pacifico Seguros    ECA370       18/11/2024             17/05/2025           11747.700    57 
18570322    TERESA HERRERA MORALES        Sanitas Peru        DJX923       25/08/2026             14/08/2028           9986.910     24 
48044617    JOSE DIAZ CHAVEZ              Insur Vida          DQU546       26/12/2022             15/12/2024           8392.640     20 
77472904    MARIA ROJAS PEREZ             Pacifico Seguros    CDZ874       29/12/2024             27/06/2025           2196.810     35 
83509278    JUAN DIAZ CHAVEZ              La Positiva         NYJ181       03/10/2025             01/04/2026           2633.450     30 
15754924    ELENA DIAZ RUIZ               Insur Vida          QXN239       18/08/2024             13/08/2025           7402.850     43 
63283814    CARMEN CRUZ RUIZ              La Positiva         PCK101       17/06/2026             12/06/2027           11883.350    75 
23706289    JUAN RUIZ FLORES              Rimac Seguros       KRF322       21/05/2024             11/05/2026           10796.470    45 
33871800    ROSA MENDOZA CHAVEZ           La Positiva         ZLD136       28/10/2024             18/10/2026           11011.120    53 
38364024    PEDRO VARGAS TORRES           Protecta Security   EUG078       11/05/2023             25/04/2026           10196.280    24 
83981914    CLAUDIA SILVA VARGAS          Mapfre Peru         QSL273       14/01/2024             29/12/2026           11224.520    45 
45665104    PATRICIA REYES AGUILAR        Pacifico Seguros    DJE843       18/11/2024             03/11/2027           5250.670     21 
80268309    ANA MEDINA ORTIZ              Protecta Security   OWT987       14/01/2023             09/01/2024           2315.840     41 
87626896    MIGUEL HERRERA RUIZ           Protecta Security   OHB518       13/05/2024             09/11/2024           5749.560     47 
64950588    PATRICIA MEDINA DIAZ          Insur Vida          KCG533       07/01/2024             27/12/2025           6661.960     72 
77560497    VICTOR FLORES DIAZ            Interseguro         OYH713       04/04/2025             25/03/2027           11524.930    51 
59125119    TERESA NUNEZ RIVERA           Protecta Security   GRK079       30/03/2026             25/03/2027           12759.950    57 
19427887    SILVIA RAMIREZ LOPEZ          Insur Vida          URU708       12/06/2026             27/05/2029           9735.680     70 
94844860    MIGUEL CHAVEZ GOMEZ           Interseguro         QHK625       02/01/2026             28/12/2026           12430.800    66 
10961065    JORGE MENDOZA CASTILLO        Protecta Security   DPG554       17/05/2025             12/05/2026           10055.640    72 
36780065    PATRICIA DIAZ FLORES          La Positiva         LXX087       24/12/2023             21/06/2024           11021.910    55 
45686716    MONICA MARTINEZ MENDOZA       La Positiva         EZM706       30/08/2023             14/08/2026           13344.050    23 
30845968    DIEGO MARTINEZ GARCIA         Rimac Seguros       JTB288       03/06/2024             29/05/2025           7316.470     61 
28492661    PEDRO RAMIREZ RAMIREZ         Mapfre Peru         FQL840       01/08/2024             27/07/2025           7066.700     30 
44141848    JOSE AGUILAR JIMENEZ          La Positiva         YHE020       07/04/2025             28/03/2027           12024.850    69 
44211824    LUIS VARGAS GONZALEZ          Protecta Security   IYU723       19/01/2024             08/01/2026           6487.030     59 
56397377    VICTOR RAMIREZ DIAZ           Rimac Seguros       CTS444       06/01/2023             26/12/2024           2514.180     25 
86927618    JORGE REYES RODRIGUEZ         Protecta Security   FWS629       23/01/2025             08/01/2028           9226.160     67 
85787306    JORGE DIAZ RUIZ               Rimac Seguros       VCB365       14/06/2023             29/05/2026           8187.260     44 
54201915    ANDRES MEDINA CHAVEZ          Sanitas Peru        KZO587       13/03/2023             25/02/2026           13852.090    65 
32417261    CLAUDIA ORTIZ CRUZ            Insur Vida          RBS184       29/01/2025             28/07/2025           8050.350     50 
44023739    ELENA SILVA GOMEZ             Pacifico Seguros    KDC557       30/08/2024             26/02/2025           2504.100     50 
43293587    SILVIA CASTILLO CRUZ          Insur Vida          LSK263       16/06/2024             11/06/2025           8917.230     29 
49818291    MANUEL REYES CHAVEZ           Protecta Security   UOZ775       15/09/2025             10/09/2026           8080.170     34 
48009256    JOSE RIVERA FLORES            Mapfre Peru         MRA724       07/03/2024             25/02/2026           4624.420     55 
55943604    CARLOS TORRES MEDINA          Rimac Seguros       NDM668       04/05/2026             31/10/2026           1852.210     30 
20242003    GABRIELA MEDINA SILVA         Interseguro         FOF319       14/07/2026             28/06/2029           7343.720     33 
69909073    LUCIA DIAZ RIVERA             Pacifico Seguros    RGK889       07/06/2025             28/05/2027           7393.680     54 
32436989    VALERIA CRUZ ROJAS            Interseguro         GDL354       12/06/2022             27/05/2025           12418.600    31 
83434034    VALERIA CASTILLO GONZALEZ     Rimac Seguros       TNS466       05/05/2025             30/04/2026           6982.010     51 
57615923    ROSA GARCIA LOPEZ             Protecta Security   CWU109       01/02/2026             27/01/2027           8006.670     19 
35356482    FERNANDO FLORES RIVERA        La Positiva         IYX565       26/02/2026             25/08/2026           12583.700    72 
23033355    CLAUDIA NUNEZ SANCHEZ         Protecta Security   TZT131       28/05/2024             24/11/2024           11112.890    65 
96827446    CARLOS MEDINA AGUILAR         Interseguro         JPT349       15/11/2025             10/11/2026           11490.870    30 
97957551    TERESA MARTINEZ MORALES       Pacifico Seguros    JJT450       17/07/2025             07/07/2027           12058.310    27 
99189126    JOSE REYES GARCIA             Pacifico Seguros    IND450       05/10/2025             03/04/2026           8023.590     28 
80000192    DIEGO MEDINA RODRIGUEZ        Sanitas Peru        ESV541       02/06/2022             29/11/2022           11468.570    38 
